transaction_id,predicted_risk_level,risk_score,confidence,prob_high,prob_low,prob_medium,is_fraud_flagged
0,Low,99.71,99.71,0.0,99.71,0.29,0
1,Low,99.03,99.03,0.0,99.03,0.97,0
2,Medium,99.53,99.53,0.0,0.46,99.53,1
3,Low,99.9,99.9,0.0,99.9,0.1,0
4,Medium,99.84,99.84,0.01,0.15,99.84,1
5,Medium,99.94,99.94,0.0,0.06,99.94,1
6,Low,99.19,99.19,0.0,99.19,0.8,0
7,Low,99.32,99.32,0.0,99.32,0.67,0
8,Medium,99.88,99.88,0.0,0.12,99.88,1
9,Medium,99.94,99.94,0.0,0.06,99.94,1
10,Medium,99.95,99.95,0.0,0.05,99.95,1
11,Low,98.03,98.03,0.0,98.03,1.96,0
12,Low,98.85,98.85,0.0,98.85,1.15,0
13,Medium,83.3,83.3,0.01,16.69,83.3,1
14,Low,94.14,94.14,0.0,94.14,5.85,0
15,Low,51.31,51.31,0.02,51.31,48.67,0
16,Medium,99.96,99.96,0.0,0.04,99.96,1
17,Low,99.86,99.86,0.0,99.86,0.14,0
18,Low,99.84,99.84,0.0,99.84,0.16,0
19,Medium,99.96,99.96,0.0,0.04,99.96,1
20,Low,99.9,99.9,0.0,99.9,0.1,0
21,Medium,99.89,99.89,0.0,0.11,99.89,1
22,Medium,74.13,74.13,0.02,25.85,74.13,1
23,Low,99.78,99.78,0.0,99.78,0.22,0
24,Low,99.32,99.32,0.0,99.32,0.68,0
25,Low,99.87,99.87,0.0,99.87,0.13,0
26,Medium,99.91,99.91,0.0,0.09,99.91,1
27,Low,99.74,99.74,0.0,99.74,0.25,0
28,High,95.78,95.78,95.78,0.03,4.19,1
29,Medium,99.96,99.96,0.0,0.04,99.96,1
30,Low,99.89,99.89,0.0,99.89,0.11,0
31,Low,99.89,99.89,0.0,99.89,0.11,0
32,Medium,99.9,99.9,0.0,0.09,99.9,1
33,Low,99.52,99.52,0.0,99.52,0.48,0
34,Medium,99.95,99.95,0.0,0.05,99.95,1
35,Low,99.55,99.55,0.0,99.55,0.45,0
36,Low,98.92,98.92,0.0,98.92,1.08,0
37,Low,99.82,99.82,0.0,99.82,0.18,0
38,Medium,99.3,99.3,0.0,0.69,99.3,1
39,Medium,99.86,99.86,0.0,0.14,99.86,1
40,Low,99.97,99.97,0.0,99.97,0.03,0
41,Low,99.93,99.93,0.0,99.93,0.07,0
42,Low,99.95,99.95,0.0,99.95,0.05,0
43,Low,99.97,99.97,0.0,99.97,0.03,0
44,Low,99.88,99.88,0.0,99.88,0.12,0
45,Low,99.92,99.92,0.0,99.92,0.07,0
46,Low,99.95,99.95,0.0,99.95,0.05,0
47,Low,99.95,99.95,0.0,99.95,0.04,0
48,Low,99.96,99.96,0.0,99.96,0.04,0
49,Medium,99.73,99.73,0.0,0.27,99.73,1
50,Low,99.95,99.95,0.0,99.95,0.05,0
51,Low,99.95,99.95,0.0,99.95,0.05,0
52,Medium,99.92,99.92,0.0,0.08,99.92,1
53,Low,99.86,99.86,0.0,99.86,0.14,0
54,Medium,99.19,99.19,0.0,0.81,99.19,1
55,Low,99.97,99.97,0.0,99.97,0.03,0
56,Low,99.96,99.96,0.0,99.96,0.04,0
57,Low,99.96,99.96,0.0,99.96,0.04,0
58,Medium,99.53,99.53,0.0,0.47,99.53,1
59,Low,99.89,99.89,0.0,99.89,0.11,0
60,Low,99.95,99.95,0.0,99.95,0.05,0
61,Low,99.96,99.96,0.0,99.96,0.04,0
62,Medium,99.93,99.93,0.0,0.07,99.93,1
63,Low,99.97,99.97,0.0,99.97,0.03,0
64,Low,99.96,99.96,0.0,99.96,0.04,0
65,Low,99.95,99.95,0.0,99.95,0.05,0
66,Low,99.94,99.94,0.0,99.94,0.06,0
67,Low,99.96,99.96,0.0,99.96,0.04,0
68,Medium,99.2,99.2,0.0,0.79,99.2,1
69,Low,99.96,99.96,0.0,99.96,0.04,0
70,Low,99.96,99.96,0.0,99.96,0.04,0
71,Low,99.97,99.97,0.0,99.97,0.03,0
72,Low,99.96,99.96,0.0,99.96,0.04,0
73,Low,98.56,98.56,0.0,98.56,1.44,0
74,Low,99.97,99.97,0.0,99.97,0.03,0
75,Low,99.96,99.96,0.0,99.96,0.04,0
76,Low,99.87,99.87,0.0,99.87,0.13,0
77,Low,99.97,99.97,0.0,99.97,0.03,0
78,Low,99.95,99.95,0.0,99.95,0.05,0
79,Low,99.96,99.96,0.0,99.96,0.04,0
80,Low,99.96,99.96,0.0,99.96,0.04,0
81,Low,99.96,99.96,0.0,99.96,0.04,0
82,Low,99.96,99.96,0.0,99.96,0.04,0
83,Low,99.91,99.91,0.0,99.91,0.09,0
84,Low,99.94,99.94,0.0,99.94,0.06,0
85,Low,99.14,99.14,0.0,99.14,0.86,0
86,Low,99.96,99.96,0.0,99.96,0.04,0
87,Low,99.9,99.9,0.0,99.9,0.1,0
88,Low,99.85,99.85,0.0,99.85,0.15,0
89,Low,99.94,99.94,0.0,99.94,0.06,0
90,Low,99.96,99.96,0.0,99.96,0.04,0
91,Low,99.7,99.7,0.0,99.7,0.3,0
92,Low,99.96,99.96,0.0,99.96,0.04,0
93,Low,99.96,99.96,0.0,99.96,0.04,0
94,Low,99.96,99.96,0.0,99.96,0.04,0
95,Low,99.96,99.96,0.0,99.96,0.04,0
96,Low,99.95,99.95,0.0,99.95,0.05,0
97,Low,99.96,99.96,0.0,99.96,0.04,0
98,Low,98.81,98.81,0.0,98.81,1.18,0
99,Low,99.95,99.95,0.0,99.95,0.05,0
